seq_name,cell_types_98,cell_types_50,cell_types_25
LS-15390_S84_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15390_S85_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15390_S86_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15390_S87_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15390_S88_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15390_S89_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15390_S90_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15390_S91_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15390_S92_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15390_S93_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15390_S94_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15390_S95_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15390_S96_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S65_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S66_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S68_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S69_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S70_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S71_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S72_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S73_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S74_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S75_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S76_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S77_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S78_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S79_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S80_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S81_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S82_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S83_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S84_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S85_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S86_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S87_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S88_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S89_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S90_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S91_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S92_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S93_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S94_E1-50,L5 IT VISp Hsd11b1 Endou,n30,n28
LS-15389_S95_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15389_S96_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15395_S05_E1-50,L6b VISp Col8a1 Rxfp1,n54,n52
LS-15395_S08_E1-50,L6b VISp Crh,n56,n52
LS-15395_S95_E1-50,Pvalb Gabrg1,Pvalb Gabrg1,n110
LS-15395_S96_E1-50,Sst Nr2f2 Necab1,Sst Nr2f2 Necab1,n91
LS-15396_S89_E1-50,Sst Nr2f2 Necab1,Sst Nr2f2 Necab1,n91
LS-15396_S93_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15396_S94_E1-50,Pvalb Gpr149 Islr,n111,n110
SM-D9E67_S92_E1-50,Pvalb Akr1c18 Ntf3,n111,n110
LS-15500_S81_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15500_S82_E1-50,Sst Tac1 Htr1d,n105,n91
LS-15500_S84_E1-50,Sst Rxfp1 Prdm8,n100,n91
LS-15500_S85_E1-50,Sst Rxfp1 Prdm8,n100,n91
LS-15500_S86_E1-50,Pvalb Akr1c18 Ntf3,n111,n110
LS-15500_S87_E1-50,Pvalb Calb1 Sst,n111,n110
LS-15500_S89_E1-50,Sst Mme Fam114a1,n105,n91
LS-15500_S90_E1-50,Sst Rxfp1 Prdm8,n100,n91
LS-15500_S91_E1-50,Sst Mme Fam114a1,n105,n91
LS-15500_S92_E1-50,Sst Nr2f2 Necab1,Sst Nr2f2 Necab1,n91
LS-15500_S93_E1-50,Sst Rxfp1 Eya1,n100,n91
LS-15500_S94_E1-50,Sst Tac1 Htr1d,n105,n91
LS-15500_S95_E1-50,Sst Tac1 Htr1d,n105,n91
LS-15398_S89_E1-50,Sst Hpse Cbln4,n107,n91
LS-15398_S90_E1-50,Pvalb Th Sst,Pvalb Th Sst,n110
LS-15398_S91_E1-50,Sst Tac1 Htr1d,n105,n91
LS-15398_S92_E1-50,Pvalb Reln Tac1,n111,n110
LS-15398_S93_E1-50,Sst Nr2f2 Necab1,Sst Nr2f2 Necab1,n91
LS-15398_S94_E1-50,Sst Mme Fam114a1,n105,n91
LS-15398_S95_E1-50,Sst Nr2f2 Necab1,Sst Nr2f2 Necab1,n91
LS-15398_S96_E1-50,Sst Tac1 Htr1d,n105,n91
SM-D9E67_S96_E1-50,Pvalb Th Sst,Pvalb Th Sst,n110
LS-15507_S17_E1-50_and_LS-15507_S17_E2-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15507_S18_E1-50_and_LS-15507_S18_E2-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15507_S19_E1-50_and_LS-15507_S19_E2-50,Vip Chat Htr1f,n72,n66
LS-15507_S20_E1-50_and_LS-15507_S20_E2-50,Sst Tac1 Tacr3,Sst Tac1 Tacr3,n91
LS-15507_S21_E1-50_and_LS-15507_S21_E2-50,Vip Ptprt Pkp2,n73,n66
LS-15507_S22_E1-50_and_LS-15507_S22_E2-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15507_S23_E1-50_and_LS-15507_S23_E2-50,Lamp5 Lhx6,Lamp5 Lhx6,n78
LS-15507_S24_E1-50_and_LS-15507_S24_E2-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15507_S25_E1-50_and_LS-15507_S25_E2-50,Lamp5 Lhx6,Lamp5 Lhx6,n78
LS-15507_S26_E1-50_and_LS-15507_S26_E2-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15507_S27_E1-50_and_LS-15507_S27_E2-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15507_S28_E1-50_and_LS-15507_S28_E2-50,Serpinf1 Aqp5 Vip,Serpinf1 Aqp5 Vip,n84
LS-15507_S29_E1-50_and_LS-15507_S29_E2-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15507_S30_E1-50_and_LS-15507_S30_E2-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15507_S31_E1-50_and_LS-15507_S31_E2-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15507_S32_E1-50_and_LS-15507_S32_E2-50,Vip Ptprt Pkp2,n73,n66
LS-15507_S33_E1-50_and_LS-15507_S33_E2-50,Vip Ptprt Pkp2,n73,n66
LS-15507_S34_E1-50_and_LS-15507_S34_E2-50,Sst Crh 4930553C11Rik ,n98,n91
LS-15507_S35_E1-50_and_LS-15507_S35_E2-50,Sst Crhr2 Efemp1,n98,n91
LS-15507_S36_E1-50_and_LS-15507_S36_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15507_S37_E1-50_and_LS-15507_S37_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15507_S38_E1-50_and_LS-15507_S38_E2-50,Sst Mme Fam114a1,n105,n91
LS-15507_S39_E1-50_and_LS-15507_S39_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15507_S40_E1-50_and_LS-15507_S40_E2-50,L5 IT VISp Batf3,n30,n28
LS-15507_S41_E1-50_and_LS-15507_S41_E2-50,Sst Tac1 Tacr3,Sst Tac1 Tacr3,n91
LS-15507_S42_E1-50_and_LS-15507_S42_E2-50,Sst Rxfp1 Eya1,n100,n91
LS-15507_S43_E1-50_and_LS-15507_S43_E2-50,L5 IT VISp Batf3,n30,n28
LS-15507_S44_E1-50_and_LS-15507_S44_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15507_S45_E1-50_and_LS-15507_S45_E2-50,Pvalb Calb1 Sst,n111,n110
LS-15507_S46_E1-50_and_LS-15507_S46_E2-50,Sst Tac1 Htr1d,n105,n91
LS-15507_S47_E1-50_and_LS-15507_S47_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15507_S48_E1-50_and_LS-15507_S48_E2-50,Pvalb Akr1c18 Ntf3,n111,n110
LS-15507_S49_E1-50_and_LS-15507_S49_E2-50,Sst Tac1 Tacr3,Sst Tac1 Tacr3,n91
LS-15507_S50_E1-50_and_LS-15507_S50_E2-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15507_S51_E1-50_and_LS-15507_S51_E2-50,Sst Tac1 Tacr3,Sst Tac1 Tacr3,n91
LS-15507_S52_E1-50_and_LS-15507_S52_E2-50,Sst Tac1 Htr1d,n105,n91
LS-15507_S54_E1-50_and_LS-15507_S54_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15507_S55_E1-50_and_LS-15507_S55_E2-50,Vip Ptprt Pkp2,n73,n66
LS-15507_S56_E1-50_and_LS-15507_S56_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15507_S65_E1-50_and_LS-15507_S65_E2-50,Lamp5 Lhx6,Lamp5 Lhx6,n78
LS-15507_S67_E1-50_and_LS-15507_S67_E2-50,Lamp5 Plch2 Dock5,n82,n79
LS-15507_S68_E1-50_and_LS-15507_S68_E2-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15507_S69_E1-50_and_LS-15507_S69_E2-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15507_S70_E1-50_and_LS-15507_S70_E2-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15507_S71_E1-50_and_LS-15507_S71_E2-50,Lamp5 Lhx6,Lamp5 Lhx6,n78
LS-15507_S72_E1-50_and_LS-15507_S72_E2-50,Sst Tac1 Tacr3,Sst Tac1 Tacr3,n91
LS-15507_S73_E1-50_and_LS-15507_S73_E2-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15507_S74_E1-50_and_LS-15507_S74_E2-50,Vip Lmo1 Myl1,n67,n66
LS-15507_S75_E1-50_and_LS-15507_S75_E2-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15507_S76_E1-50_and_LS-15507_S76_E2-50,Lamp5 Lhx6,Lamp5 Lhx6,n78
LS-15507_S77_E1-50_and_LS-15507_S77_E2-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15507_S78_E1-50_and_LS-15507_S78_E2-50,Lamp5 Plch2 Dock5,n82,n79
LS-15507_S79_E1-50_and_LS-15507_S79_E2-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15507_S80_E1-50_and_LS-15507_S80_E2-50,Vip Chat Htr1f,n72,n66
LS-15507_S81_E1-50_and_LS-15507_S81_E2-50,Sst Tac1 Tacr3,Sst Tac1 Tacr3,n91
LS-15507_S82_E1-50_and_LS-15507_S82_E2-50,Sst Tac1 Tacr3,Sst Tac1 Tacr3,n91
LS-15507_S83_E1-50_and_LS-15507_S83_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15507_S84_E1-50_and_LS-15507_S84_E2-50,Pvalb Gabrg1,Pvalb Gabrg1,n110
LS-15507_S85_E1-50_and_LS-15507_S85_E2-50,Sst Crh 4930553C11Rik ,n98,n91
LS-15507_S86_E1-50_and_LS-15507_S86_E2-50,L6 IT VISp Col23a1 Adamts2,n33,n33
LS-15507_S87_E1-50_and_LS-15507_S87_E2-50,Sst Rxfp1 Prdm8,n100,n91
LS-15507_S88_E1-50_and_LS-15507_S88_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15507_S89_E1-50_and_LS-15507_S89_E2-50,Sst Tac1 Htr1d,n105,n91
LS-15507_S90_E1-50_and_LS-15507_S90_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15507_S91_E1-50_and_LS-15507_S91_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15507_S92_E1-50_and_LS-15507_S92_E2-50,Sst Mme Fam114a1,n105,n91
LS-15507_S93_E1-50_and_LS-15507_S93_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15507_S94_E1-50_and_LS-15507_S94_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15507_S95_E1-50_and_LS-15507_S95_E2-50,Sst Mme Fam114a1,n105,n91
LS-15507_S96_E1-50_and_LS-15507_S96_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15508_S81_E1-50_and_LS-15508_S81_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15508_S82_E1-50_and_LS-15508_S82_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15508_S83_E1-50_and_LS-15508_S83_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15508_S84_E1-50_and_LS-15508_S84_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15508_S85_E1-50_and_LS-15508_S85_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15508_S86_E1-50_and_LS-15508_S86_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15508_S87_E1-50_and_LS-15508_S87_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15508_S88_E1-50_and_LS-15508_S88_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15508_S89_E1-50_and_LS-15508_S89_E2-50,Sst Mme Fam114a1,n105,n91
LS-15508_S90_E1-50_and_LS-15508_S90_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15508_S91_E1-50_and_LS-15508_S91_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15508_S92_E1-50_and_LS-15508_S92_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15508_S93_E1-50_and_LS-15508_S93_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15508_S94_E1-50_and_LS-15508_S94_E2-50,Pvalb Calb1 Sst,n111,n110
LS-15508_S95_E1-50_and_LS-15508_S95_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15508_S96_E1-50_and_LS-15508_S96_E2-50,Sst Chodl,Sst Chodl,Sst Chodl
SM-D9E66_S89_E1-50,Sst Tac1 Tacr3,Sst Tac1 Tacr3,n91
SM-D9E66_S90_E1-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15509_S81_E1-50_and_LS-15509_S81_E2-50,Pvalb Akr1c18 Ntf3,n111,n110
LS-15509_S82_E1-50_and_LS-15509_S82_E2-50,Pvalb Sema3e Kank4,n111,n110
LS-15509_S83_E1-50_and_LS-15509_S83_E2-50,Pvalb Akr1c18 Ntf3,n111,n110
LS-15509_S84_E1-50_and_LS-15509_S84_E2-50,Pvalb Tpbg,n111,n110
LS-15509_S85_E1-50_and_LS-15509_S85_E2-50,Pvalb Tpbg,n111,n110
LS-15509_S86_E1-50_and_LS-15509_S86_E2-50,Pvalb Tpbg,n111,n110
LS-15509_S87_E1-50_and_LS-15509_S87_E2-50,Pvalb Tpbg,n111,n110
LS-15509_S88_E1-50_and_LS-15509_S88_E2-50,Pvalb Tpbg,n111,n110
LS-15509_S89_E1-50_and_LS-15509_S89_E2-50,Pvalb Tpbg,n111,n110
LS-15509_S90_E1-50_and_LS-15509_S90_E2-50,Pvalb Tpbg,n111,n110
LS-15509_S91_E1-50_and_LS-15509_S91_E2-50,Pvalb Tpbg,n111,n110
LS-15509_S92_E1-50_and_LS-15509_S92_E2-50,Pvalb Tpbg,n111,n110
LS-15509_S93_E1-50_and_LS-15509_S93_E2-50,Pvalb Tpbg,n111,n110
LS-15509_S94_E1-50_and_LS-15509_S94_E2-50,Pvalb Tpbg,n111,n110
LS-15509_S95_E1-50_and_LS-15509_S95_E2-50,Sst Nr2f2 Necab1,Sst Nr2f2 Necab1,n91
LS-15509_S96_E1-50_and_LS-15509_S96_E2-50,Pvalb Tpbg,n111,n110
LS-15510_S73_E1-50,Pvalb Reln Tac1,n111,n110
LS-15510_S74_E1-50,Pvalb Tpbg,n111,n110
LS-15510_S75_E1-50,Pvalb Tpbg,n111,n110
LS-15510_S76_E1-50,Pvalb Tpbg,n111,n110
LS-15510_S77_E1-50,Pvalb Tpbg,n111,n110
LS-15510_S78_E1-50,Pvalb Tpbg,n111,n110
LS-15510_S79_E1-50,Pvalb Tpbg,n111,n110
LS-15510_S89_E1-50,Pvalb Tpbg,n111,n110
LS-15510_S90_E1-50,Pvalb Reln Tac1,n111,n110
LS-15510_S91_E1-50,Pvalb Reln Tac1,n111,n110
LS-15510_S92_E1-50,Pvalb Reln Tac1,n111,n110
LS-15510_S93_E1-50,Pvalb Reln Tac1,n111,n110
LS-15510_S94_E1-50,Pvalb Reln Tac1,n111,n110
LS-15510_S95_E1-50,Pvalb Reln Tac1,n111,n110
LS-15510_S96_E1-50,Pvalb Reln Tac1,n111,n110
LS-15513_S01_E1-50,Pvalb Reln Itm2a,n111,n110
LS-15513_S02_E1-50,Pvalb Tpbg,n111,n110
LS-15513_S03_E1-50,Pvalb Reln Itm2a,n111,n110
LS-15513_S04_E1-50,Pvalb Reln Itm2a,n111,n110
LS-15513_S05_E1-50,Pvalb Reln Itm2a,n111,n110
LS-15513_S06_E1-50,Pvalb Reln Itm2a,n111,n110
LS-15513_S07_E1-50,Pvalb Tpbg,n111,n110
LS-15513_S08_E1-50,Pvalb Reln Itm2a,n111,n110
LS-15513_S17_E1-50,Pvalb Tpbg,n111,n110
LS-15513_S18_E1-50,Pvalb Tpbg,n111,n110
LS-15513_S19_E1-50,Pvalb Tpbg,n111,n110
LS-15513_S20_E1-50,Pvalb Tpbg,n111,n110
LS-15513_S21_E1-50,Pvalb Tpbg,n111,n110
LS-15513_S22_E1-50,Pvalb Tpbg,n111,n110
LS-15513_S23_E1-50,Pvalb Tpbg,n111,n110
LS-15513_S24_E1-50,Pvalb Tpbg,n111,n110
LS-15513_S25_E1-50,Pvalb Tpbg,n111,n110
LS-15513_S26_E1-50,Pvalb Tpbg,n111,n110
LS-15513_S27_E1-50,Pvalb Tpbg,n111,n110
LS-15513_S28_E1-50,Pvalb Tpbg,n111,n110
LS-15513_S29_E1-50,Pvalb Tpbg,n111,n110
LS-15513_S30_E1-50,Pvalb Tpbg,n111,n110
LS-15513_S31_E1-50,Pvalb Tpbg,n111,n110
LS-15513_S32_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S01_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S02_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S03_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S04_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S05_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S06_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S07_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S08_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S09_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S10_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S11_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S12_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S13_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S14_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S15_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S16_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S25_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S26_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S27_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S28_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S29_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S30_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S31_E1-50,Pvalb Tpbg,n111,n110
LS-15514_S32_E1-50,Pvalb Tpbg,n111,n110
LS-15515_S07_E1-50,Pvalb Tpbg,n111,n110
LS-15515_S08_E1-50,Pvalb Vipr2,Pvalb Vipr2,Pvalb Vipr2
LS-15515_S10_E1-50,Pvalb Reln Tac1,n111,n110
LS-15515_S11_E1-50,Pvalb Tpbg,n111,n110
LS-15515_S12_E1-50,Pvalb Calb1 Sst,n111,n110
LS-15515_S13_E1-50,Pvalb Reln Tac1,n111,n110
LS-15515_S14_E1-50,Pvalb Reln Tac1,n111,n110
LS-15515_S15_E1-50,Pvalb Reln Tac1,n111,n110
LS-15515_S16_E1-50,Pvalb Tpbg,n111,n110
LS-15515_S17_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15515_S18_E1-50,Pvalb Reln Tac1,n111,n110
LS-15515_S19_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15515_S20_E1-50,Pvalb Tpbg,n111,n110
LS-15515_S21_E1-50,Pvalb Reln Tac1,n111,n110
LS-15515_S22_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15515_S23_E1-50,Pvalb Reln Tac1,n111,n110
LS-15515_S24_E1-50,Pvalb Tpbg,n111,n110
SM-D9D85_S90_E1-50,Pvalb Reln Tac1,n111,n110
SM-D9D85_S91_E1-50,Pvalb Reln Tac1,n111,n110
LS-15513_S90_E1-50,Vip Ptprt Pkp2,n73,n66
LS-15513_S91_E1-50,Vip Ptprt Pkp2,n73,n66
LS-15513_S93_E1-50,Vip Rspo4 Rxfp1 Chat,n73,n66
LS-15513_S94_E1-50,Vip Ptprt Pkp2,n73,n66
LS-15513_S95_E1-50,Vip Ptprt Pkp2,n73,n66
LS-15513_S96_E1-50,Vip Ptprt Pkp2,n73,n66
LS-15520_S81_E1-50,Pvalb Akr1c18 Ntf3,n111,n110
LS-15520_S82_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15520_S83_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15520_S84_E1-50,Pvalb Th Sst,Pvalb Th Sst,n110
LS-15520_S85_E1-50,Pvalb Akr1c18 Ntf3,n111,n110
LS-15520_S86_E1-50,Sst Nr2f2 Necab1,Sst Nr2f2 Necab1,n91
LS-15520_S87_E1-50,Pvalb Reln Tac1,n111,n110
LS-15520_S88_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15520_S89_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15520_S90_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15520_S91_E1-50,Pvalb Th Sst,Pvalb Th Sst,n110
LS-15520_S92_E1-50,Pvalb Reln Tac1,n111,n110
LS-15520_S93_E1-50,Pvalb Gabrg1,Pvalb Gabrg1,n110
LS-15520_S94_E1-50,Pvalb Gabrg1,Pvalb Gabrg1,n110
LS-15520_S95_E1-50,Pvalb Gabrg1,Pvalb Gabrg1,n110
LS-15520_S96_E1-50,Pvalb Reln Tac1,n111,n110
LS-15522_S65_E1-50,Pvalb Akr1c18 Ntf3,n111,n110
LS-15522_S66_E1-50,Pvalb Akr1c18 Ntf3,n111,n110
LS-15522_S67_E1-50,Pvalb Gabrg1,Pvalb Gabrg1,n110
LS-15522_S68_E1-50,Pvalb Gabrg1,Pvalb Gabrg1,n110
LS-15522_S69_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15522_S70_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15522_S71_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15522_S72_E1-50,Pvalb Akr1c18 Ntf3,n111,n110
LS-15522_S78_E1-50,Pvalb Sema3e Kank4,n111,n110
LS-15522_S79_E1-50,Sst Nr2f2 Necab1,Sst Nr2f2 Necab1,n91
LS-15522_S80_E1-50,Sst Nr2f2 Necab1,Sst Nr2f2 Necab1,n91
LS-15521_S65_E1-50,Sst Nr2f2 Necab1,Sst Nr2f2 Necab1,n91
LS-15521_S66_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15521_S67_E1-50,Sst Myh8 Etv1 ,n95,n91
LS-15521_S68_E1-50,Pvalb Gabrg1,Pvalb Gabrg1,n110
LS-15521_S69_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15521_S70_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15521_S71_E1-50,Sst Hpse Sema3c,n107,n91
LS-15521_S72_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15521_S81_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15521_S82_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15521_S83_E1-50,Pvalb Akr1c18 Ntf3,n111,n110
LS-15521_S84_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15521_S85_E1-50,Sst Nr2f2 Necab1,Sst Nr2f2 Necab1,n91
LS-15521_S86_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15521_S87_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15521_S88_E1-50,Pvalb Gabrg1,Pvalb Gabrg1,n110
LS-15521_S89_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15521_S90_E1-50,Pvalb Gabrg1,Pvalb Gabrg1,n110
LS-15521_S91_E1-50,Sst Myh8 Etv1 ,n95,n91
LS-15521_S93_E1-50,Sst Nr2f2 Necab1,Sst Nr2f2 Necab1,n91
LS-15521_S94_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15521_S95_E1-50,Pvalb Reln Tac1,n111,n110
LS-15521_S96_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15542_S01_E1-50,L5 PT VISp C1ql2 Ptgfr,n9,n8
LS-15542_S02_E1-50,L5 PT VISp Krt80,n9,n8
LS-15542_S03_E1-50,L5 PT VISp C1ql2 Cdh13,n9,n8
